Artist,Title,Difficulty,Link,Mod,Length,Star,Song No.
Ray,~lull~Soshite Bokura  Wa~,Insane,https://osu.ppy.sh/b/438061,Double Time,4:28 (2:58),3.77 (5.27),0
BRIGHT,1 Year 2 Months 20 Days,Athena,https://osu.ppy.sh/b/204428,Double Time,2:57 (1:58),3.69 (5.17),1
Avicii,Addicted To You,Insane,https://osu.ppy.sh/b/445437,Double Time,2:20 (1:33),3.63 (4.96),2
Blue Stahli,Atom Smasher,Advanced,https://osu.ppy.sh/b/239259,Double Time,2:09 (1:26),3.7 (5.16),3
ClariS,Click,Insane,https://osu.ppy.sh/b/361011,Double Time,4:21 (2:54),3.7 (5.03),4
Duca,Clover (Short Ver.),Insane,https://osu.ppy.sh/b/118751,Double Time,1:34 (1:02),3.57 (4.95),5
Halcyonic Falcon X,Crystalis Fantasia,Insane,https://osu.ppy.sh/b/344789?m=0,Double Time,2:21 (1:34),3.86 (5.32),6
Lindsey Stirling,Crystalize,Black Snow,https://osu.ppy.sh/b/145157,Double Time,3:56 (2:37),3.56 (4.95),7
Yasuo-P,Electric Angel,Collab,https://osu.ppy.sh/b/167535,Double Time,1:34 (1:02),3.62 (5.02),8
Zedd,Find You,Reclaimed,https://osu.ppy.sh/b/404940,Double Time,3:15 (2:10),3.59 (4.88),9
FELT,Flower Flag,happy30,https://osu.ppy.sh/b/113679,Double Time,4:19 (2:52),3.85 (5.2),10
SMiLE.dk,Golden Sky,Insane,https://osu.ppy.sh/b/155404?m=0,Double Time,2:59 (1:59),3.61 (5.05),11
Tsuji Ayano,Kaze ni Naru,Insane,https://osu.ppy.sh/b/413446&m=0,Double Time,2.44 (1:49),3.56 (4.91),12
Marika,Knowing,cRyo's Insane,https://osu.ppy.sh/b/162237,Double Time,2:59 (1:59),3.55 (4.92),13
Tianshi,Melancholic,Rin,https://osu.ppy.sh/b/92471,Double Time,3:34 (2:22),3.73 (5.08),14
KOTOKO,Namida No Chikai,D.N.Angel,https://osu.ppy.sh/b/142375,Double Time,3:49 (2:32),3.58 (4.95),15
Shano x 40mp,Natuskoi Hanabi,Insane,https://osu.ppy.sh/b/274085,Double Time,4:36 (3:04),3.91 (5.35),16
KOKIA,Ningen tte Sonna Mono Ne,Humanity,https://osu.ppy.sh/b/200829,Double Time,4:54 (3:16),3.68 (5.07),17
Yiruma & Skulee,River Flows In You (Love Note),Love Note,https://osu.ppy.sh/b/199049,Double Time,2:20 (1:33),3.5 (4.92),18
September,Satellites,Insane,https://osu.ppy.sh/b/369921,Double Time,3:08 (2:05),3.93 (5.18),19
Crayon Pop,Saturday Night,Hard,https://osu.ppy.sh/b/291562,Double Time,3:03 (2:02),3.56 (4.93),20
Darren Korb,Setting Sail Coming Home,Insane,https://osu.ppy.sh/b/283593,Double Time,2:40 (1:46),3.6 (4.98),21
FELT,Sky Gate,Lunatic,https://osu.ppy.sh/b/327256&m=0,Double Time,4:40 (3:06),3.70 (5.04),22
cYsmix feat. Emmy,Tear Rain,Insane,https://osu.ppy.sh/b/351189,Double Time,3:59 (2:39),3.61 (5.01),23
Hanatan,Torinoko City,Insane,https://osu.ppy.sh/b/558277,Double Time,3:20 (2:13),3.82 (5.32),24
yanaginagi,Vidro Moyou,Insane,https://osu.ppy.sh/b/308908&m=0,Double Time,4:34 (3:02),3.72 (5.12),25
Kawada Mami,Wings of Courage -Sore o Koete-,wkyik's Insane,https://osu.ppy.sh/b/654387,Double Time,2:14 (1:29),3.64 (5.01),26
Tritonal,Anchor (Noisestorm Remix),Asphyxia's Insane,https://osu.ppy.sh/b/660622,Hard Rock,1:50,4.83 (5.14),0
Knife Party,Bonfire,Rage,https://osu.ppy.sh/b/281918,Hard Rock,2:23,4.64 (4.93),1
LeaF,Calamity Fortune,SCV's Lunatic,https://osu.ppy.sh/b/261725,Hard Rock,2:10,4.84 (5.02),2
sakuzyo,ChaiN De/structioN,Loneliness,https://osu.ppy.sh/b/154165,Hard Rock,3:15,4.73 (4.87),3
Dirty Androids,City Never Sleeps,Special,https://osu.ppy.sh/b/542996,Hard Rock,1:38,4.84 (5.04),4
The Frim,City Streets,Asphyxia's Insane,https://osu.ppy.sh/b/465524,Hard Rock,1:47,4.72 (5.02),5
Nekomata Master,Far East Nightbird (kors k Remix),RLC's Extra,https://osu.ppy.sh/b/358273,Hard Rock,4:55,4.78 (4.95),6
TATSH,HEAVENLY MOON,Extreme,https://osu.ppy.sh/b/150621,Hard Rock,1:53,4.73 (4.9),7
Himeringo,Idola No Circus,Expert,https://osu.ppy.sh/b/364473,Hard Rock,3:28,4.69 (4.96),8
LiSA,Jet Rocket,RUN!!!,https://osu.ppy.sh/b/360736,Hard Rock,4:21,4.82 (5.12),9
ALiCE'S EMOTION,LUNA,Lunatic,https://osu.ppy.sh/b/152180,Hard Rock,3:30,4.74 (5.03),10
BMS(LeaF),MEPHISTO,Another,https://osu.ppy.sh/b/282166,Hard Rock,1:59,4.79 (4.96),11
Doxx & Feint,Mind in Motion,Insane,https://osu.ppy.sh/b/538573,Hard Rock,2:20,4.59 (4.89),12
Amatsuki & Midori Inu.,Mono Crossroad,Insane,https://osu.ppy.sh/b/487759,Hard Rock,3:35,4.64 (4.95),13
U2 Akiyama,Mystic Oriental Love Consultation,Lunatic,https://osu.ppy.sh/b/116169,Hard Rock,2:25,4.79 (4.95),14
Supercell,ODDS&ENDS,Insane,https://osu.ppy.sh/b/183357,Hard Rock,5:27,4.76 (5.02),15
Baru,ResoAlive,Extra,https://osu.ppy.sh/b/301690,Hard Rock,3:58,4.8 (5),16
RedMuffleR,Rubeus,Fort's EXHAUST,https://osu.ppy.sh/b/635493&m=0,Hard Rock,1:48,4.75 (4.84),17
Tama,Saigetsu (Midnight Moon Walker Remix),Lunatic,https://osu.ppy.sh/b/172360,Hard Rock,3:37,4.62 (5.02),18
Bokura wa Piacere!,Sekai de Hitotsu no Takaramono,Insane,https://osu.ppy.sh/b/159316,Hard Rock,2:30,4.62 (4.93),19
RURUTIA,Shin'ai,AI's Extra,https://osu.ppy.sh/b/396009,Hard Rock,3:07,4.86 (5.18),20
Eguchi Takahiro,Silver Temple,Insane,https://osu.ppy.sh/b/392786,Hard Rock,2:08,4.64 (4.95),21
yuikonnu & ayaponzu*,Super Nuko World,Insane,https://osu.ppy.sh/b/476149,Hard Rock,3:38,4.84 (5.12),22
MuryokuP,Sweet Cendrillon Drug,Cendrillon,https://osu.ppy.sh/b/207846,Hard Rock,3:57,4.72 (5),23
capitaro,Tenshinraman High Collar Hime,Insane,https://osu.ppy.sh/b/169387,Hard Rock,2:53,4.78 (5.07),24
wowaka,World's End Dancehall (Rocketman Remix),Insane,https://osu.ppy.sh/b/294387,Hard Rock,4:19,4.81 (5.12),25
Choucho,Yasashisa No Riyuu,Insane,https://osu.ppy.sh/b/188819,Hard Rock,4:09,4.55 (4.84),26
Yooh,-snow storm- euphoria-,INFINITE,https://osu.ppy.sh/b/386759,Hidden,1:56,5.13,0
nano,A Genesis,Rakuen's Extra,https://osu.ppy.sh/b/497467,Hidden,3:25,5.05,1
